Cost (bps),Strategy,Cumulative Return,CAGR,Annualised Volatility,Sharpe Ratio,Maximum Drawdown
0,Time-Series,0.41756228300451514,0.019061190295037722,0.04392027983490383,0.45189428897242123,-0.11577820924282933
0,Cross-Sectional,0.8470384162996905,0.03375963234380008,0.1102106677428739,0.35644375866417144,-0.28541481778029565
5,Time-Series,0.3611033128114167,0.01682245098009294,0.0439158128304734,0.4018529949425339,-0.11762977710925404
5,Cross-Sectional,0.7148902513475441,0.029615370577372957,0.11017106995496928,0.3200680714379385,-0.28745683301115765
10,Time-Series,0.30687774413712865,0.014587988880621516,0.043925288952246316,0.3516898480019981,-0.11947782624490833
10,Cross-Sectional,0.5921464791520692,0.025485970565976013,0.11014642855585317,0.2836277084234539,-0.28949372218953195
25,Time-Series,0.15674094441549014,0.007910194611979504,0.04403721984439188,0.20094842675632388,-0.1250009215910849
25,Cross-Sectional,0.27391564414365877,0.013186469415818802,0.11016231259707876,0.1740667054912764,-0.30007286089083895
50,Time-Series,-0.05636755540107863,-0.0031345817704092616,0.04449922934474876,-0.04829080337346107,-0.21203616699047734
50,Cross-Sectional,-0.12206731223927225,-0.0070198464477920774,0.11048765268798742,-0.008441875506621739,-0.3763437371209397
