Regime,Strategy,Cumulative Return,Annualised Volatility,Sharpe,Max Drawdown
GFC / Aftermath,Time-Series,-0.0035534058999775464,0.08579959259358337,0.02121314888113914,-0.10893582873439556
GFC / Aftermath,Cross-Sectional,-0.06930797213968387,0.2346198745318095,-0.042138286308573525,-0.28949372218953195
GFC / Aftermath,SPY,-0.1500015243993955,0.35223460225463377,-0.06509105522202618,-0.5148147416852171
GFC / Aftermath,60/40,-0.05501853847308491,0.19022782031006966,-0.06013914725102961,-0.31862569802118146
Post-GFC Expansion,Time-Series,0.14815642125951212,0.03123754670390909,0.45861729596066897,-0.06780118728123541
Post-GFC Expansion,Cross-Sectional,0.3579028474183821,0.08351827490767136,0.40868309647170986,-0.20993910448604014
Post-GFC Expansion,SPY,2.527577803677561,0.14698636126404876,0.9328552633041286,-0.19348939566527978
Post-GFC Expansion,60/40,1.6098334860710408,0.07896546255708008,1.256478036675664,-0.10595635211244292
COVID Shock / Recovery,Time-Series,-0.006188348507160102,0.03372647269014519,-0.07499073018306394,-0.04297470322736152
COVID Shock / Recovery,Cross-Sectional,0.009631761867227251,0.09735788616216551,0.09782031320868755,-0.13894446523325754
COVID Shock / Recovery,SPY,0.5232687233312001,0.2533269930338663,0.9568724651386797,-0.33717275860137674
COVID Shock / Recovery,60/40,0.33518859698823333,0.13984090114491737,1.1019506810415316,-0.18888208450935862
Inflation / Rate Shock,Time-Series,-0.0021167366746321914,0.05413816526579335,0.007368837406588895,-0.11646907285776753
Inflation / Rate Shock,Cross-Sectional,0.01867317209373609,0.07629656745495729,0.16010403884897242,-0.1230715025596879
Inflation / Rate Shock,SPY,0.032428741220372315,0.19511934453279958,0.1797082775264678,-0.24496383745177885
Inflation / Rate Shock,60/40,-0.02667997266237876,0.12855339705460667,-0.041666400655727714,-0.20933280889993
Recent Period,Time-Series,0.15185033577450113,0.03781203380217815,1.4662930090914235,-0.03427237880709255
Recent Period,Cross-Sectional,0.2249276972918539,0.08465212888710526,0.9701895901616041,-0.09036399622366642
Recent Period,SPY,0.6657443535300986,0.15844908086206969,1.3257277765951987,-0.18755239553632885
Recent Period,60/40,0.3980364834668686,0.09820933252652007,1.3699252442545433,-0.10560842126635894
