Strategy,Momentum,Vol Floor,Earlier Sharpe,Later Sharpe,Earlier CAGR,Later CAGR,Later Max DD
Time-Series,3-1,None,0.27141891132083856,0.18258210135420647,0.012452631970513162,0.00636916684369071,-0.1155859380131411
Cross-Sectional,3-1,None,0.2901995149850369,0.032667383610867205,0.02909890234268575,-0.0008770682241590055,-0.22624850543462494
Time-Series,3-1,5%,0.2994410014074268,0.10424858562845206,0.018890871393886455,0.004112493523353411,-0.14989332403488642
Cross-Sectional,3-1,5%,0.2732988160984465,0.048025771811447175,0.027054598310143563,0.0004055766234876135,-0.22433153665898586
Time-Series,3-1,10%,0.29790947032415305,0.09077940445286475,0.02100159660479828,0.003708875935775735,-0.16741925105856237
Cross-Sectional,3-1,10%,0.2617652748302047,0.04321288702388087,0.025641396557056773,-7.667036127112503e-05,-0.20873464039256406
Time-Series,6-1,None,0.27227132014413385,0.16997736492808202,0.012037664042420237,0.005967067008196603,-0.13569449871884454
Cross-Sectional,6-1,None,0.26642551215421467,-0.020380997357872535,0.02551164495291136,-0.005785684477347841,-0.2280041849640816
Time-Series,6-1,5%,0.3071735559063203,0.16082877279247842,0.018751674164791954,0.007189906094161147,-0.1839897501152763
Cross-Sectional,6-1,5%,0.2865434928813521,-0.011747776951117313,0.028173678146786063,-0.005088807186920841,-0.2347398089242415
Time-Series,6-1,10%,0.29572674431683693,0.2079836055094462,0.020167370323435074,0.011119201484361074,-0.18925175737923794
Cross-Sectional,6-1,10%,0.2890587842831391,-0.002743642824141274,0.028649199101661527,-0.004379186594229534,-0.23940924567287558
Time-Series,12-1,None,0.31356639746400083,0.40467835910262023,0.014404007642200067,0.014759409138709989,-0.11646907285776698
Cross-Sectional,12-1,None,0.2945260389897394,0.2893976815009881,0.03107611036256608,0.0203056703722706,-0.19891490045928395
Time-Series,12-1,5%,0.36436921493412033,0.30637048299784964,0.022698713913549273,0.014597636853058038,-0.13631098671041242
Cross-Sectional,12-1,5%,0.25905403324419113,0.28579126181870596,0.02624387613824064,0.02008520878498188,-0.19596066919076538
Time-Series,12-1,10%,0.3510071981674405,0.30579272687105946,0.02447801942636696,0.016827128602243224,-0.15169089790831747
Cross-Sectional,12-1,10%,0.23569972067302664,0.30121733571395787,0.023048186926473146,0.021576852853703254,-0.17974326244876893
