Test Year,Selected Specification,Training Sharpe,Test Return
2013,3-1 | floor=None,0.29544550331694314,0.0050163111255807635
2014,3-1 | floor=10%,0.33514071877538165,0.05660001732879527
2015,12-1 | floor=10%,0.848866632543971,0.0833155057388455
2016,12-1 | floor=None,1.1221866838617927,-0.04523382375794993
2017,12-1 | floor=10%,0.8444025491395359,0.05305155964501873
2018,12-1 | floor=10%,0.893227718313509,-0.04839151235136652
2019,3-1 | floor=None,0.4144640101395818,-0.009476865367676335
2020,3-1 | floor=None,0.11169429112751617,-0.020713720740058172
2021,3-1 | floor=None,0.08217611863451248,0.006354851223247637
2022,6-1 | floor=10%,0.2483944683706004,0.04767736978850512
2023,6-1 | floor=10%,0.2554355380509683,-0.0719962614212849
2024,6-1 | floor=5%,0.19465367851743298,-0.015928880335532858
2025,6-1 | floor=10%,0.2368425057295939,0.01453312276136165
2026,12-1 | floor=None,0.41772805687000847,0.045431599280777
